frame_index,timestamp_s,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1787225991.492502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1787225991.6442182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1787225991.721351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1787225991.7673144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1787225991.8040721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1787225991.8836248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1787225991.9557133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1787225992.0295827,0.8929458260536194,0.8840038776397705,-0.2783054709434509,0.904444694519043,0.8853370547294617,0.8917245268821716,-0.26957741379737854,0.8610066771507263,0.8833619952201843,0.8881767988204956,-0.26963579654693604,0.8560967445373535,0.8813800811767578,0.8845836520195007,-0.26976490020751953,0.8389725685119629,0.8902034163475037,0.9027404189109802,-0.2784300148487091,0.9016070365905762,0.8921968936920166,0.9075912237167358,-0.2785201966762543,0.9242874383926392,0.8942082524299622,0.9124203324317932,-0.2786767780780792,0.9241405129432678,0.8825267553329468,0.8837354183197021,-0.196486696600914,0.8779969811439514,0.9040671586990356,0.9298248291015625,-0.2381919026374817,0.9410601258277893,0.8949785232543945,0.872394323348999,-0.24786634743213654,0.8428943753242493,0.9021066427230835,0.8869540691375732,-0.2600550055503845,0.8937343955039978,0.8872035145759583,0.8383714556694031,-0.13165582716464996,0.9619011282920837,0.9439005255699158,0.9150770902633667,-0.19132350385189056,0.9842159152030945,0.8778619766235352,0.7634003162384033,-0.08212371170520782,0.2570629417896271,0.9746037721633911,0.8347601890563965,-0.19233910739421844,0.4116111993789673,0.8786081671714783,0.7062135338783264,-0.08012089878320694,0.047513313591480255,1.010378122329712,0.8178482055664062,-0.21558676660060883,0.2519455850124359,0.8794549703598022,0.6895869970321655,-0.07822374254465103,0.03917612135410309,1.0195049047470093,0.8161713480949402,-0.22348783910274506,0.2440340518951416,0.8765517473220825,0.6928837895393372,-0.08917644619941711,0.04366620257496834,1.0216625928878784,0.8220219612121582,-0.24383190274238586,0.2780820429325104,0.8790218234062195,0.6992397308349609,-0.085245780646801,0.05840493366122246,1.016995906829834,0.8191818594932556,-0.22456607222557068,0.2871336340904236,0.942322313785553,0.7383743524551392,0.01920771412551403,0.8079690933227539,0.9708700180053711,0.7652795314788818,-0.019272811710834503,0.7971835732460022,0.9629946351051331,0.6610456705093384,0.07123804092407227,0.08472403138875961,0.9695306420326233,0.6788034439086914,0.032749906182289124,0.2911301255226135,0.9705166220664978,0.6014857292175293,0.21666790544986725,0.04462747275829315,0.9825738668441772,0.6176081895828247,0.16667941212654114,0.1517113894224167,0.9726815819740295,0.5929829478263855,0.23002661764621735,0.08172667771577835,0.9882152080535889,0.6198975443840027,0.180183544754982,0.19823917746543884,0.9695749282836914,0.5686593055725098,0.19807550311088562,0.043199993669986725,0.9789203405380249,0.5683580636978149,0.1403551995754242,0.12331333756446838
8,1787225992.09892,0.8887090086936951,0.9126648902893066,-0.19637511670589447,0.9136006236076355,0.8828673958778381,0.9188189506530762,-0.19054682552814484,0.8735690712928772,0.8816187381744385,0.916038453578949,-0.19056741893291473,0.869419276714325,0.8802878856658936,0.913215696811676,-0.19063471257686615,0.8531191945075989,0.8861576318740845,0.9270179271697998,-0.19770585000514984,0.9106090664863586,0.8878298401832581,0.9308311939239502,-0.19767655432224274,0.9313892126083374,0.8895280361175537,0.9346213340759277,-0.1977836936712265,0.93104487657547,0.8826970458030701,0.9099208116531372,-0.14351718127727509,0.8892021179199219,0.8970787525177002,0.9385088682174683,-0.17823415994644165,0.946627676486969,0.8926025629043579,0.9007987976074219,-0.17740651965141296,0.858054518699646,0.8980961441993713,0.9126543998718262,-0.18751415610313416,0.9040322303771973,0.8923377990722656,0.8539107441902161,-0.1043582633137703,0.964710533618927,0.9429837465286255,0.9278504252433777,-0.14921288192272186,0.985515296459198,0.900195837020874,0.7806127667427063,-0.03252940624952316,0.2504814565181732,0.9747040271759033,0.8276330232620239,-0.1364705115556717,0.4393399655818939,0.9128172993659973,0.7527099251747131,0.0036874532233923674,0.05112392082810402,1.0128623247146606,0.7878401279449463,-0.14087049663066864,0.29498225450515747,0.9186508655548096,0.7412158846855164,0.006339170038700104,0.0426262803375721,1.0242646932601929,0.777801513671875,-0.14538557827472687,0.28597772121429443,0.9153648018836975,0.746292769908905,0.001979589695110917,0.0470307394862175,1.0262677669525146,0.7796491980552673,-0.1675824522972107,0.31939536333084106,0.9159631133079529,0.7526468634605408,0.0022527759429067373,0.0616760291159153,1.0199060440063477,0.7799848914146423,-0.15004363656044006,0.32733282446861267,0.9519843459129333,0.7386409044265747,0.010077640414237976,0.8250588774681091,0.9780612587928772,0.7677757740020752,-0.01004600990563631,0.8147153854370117,0.9806954860687256,0.6655816435813904,0.038444407284259796,0.13519442081451416,1.0008057355880737,0.68501216173172,0.049755193293094635,0.32010969519615173,1.0085467100143433,0.6125025153160095,0.1998424381017685,0.06376370042562485,1.0191680192947388,0.6248955130577087,0.2003641575574875,0.17077456414699554,1.0142756700515747,0.6066165566444397,0.21377025544643402,0.10247274488210678,1.0241812467575073,0.621699333190918,0.21431826055049896,0.21732360124588013,1.0137561559677124,0.5744673013687134,0.17816871404647827,0.05307726934552193,1.0255500078201294,0.5853740572929382,0.16813230514526367,0.13287614285945892
9,1787225992.147219,0.8874385356903076,0.9049502611160278,-0.20707759261131287,0.9219748973846436,0.8819757699966431,0.9123978614807129,-0.20067380368709564,0.8853709101676941,0.8808696269989014,0.909077525138855,-0.20068828761577606,0.8816784024238586,0.8797109127044678,0.9057521820068359,-0.20075586438179016,0.8665320873260498,0.8850637078285217,0.9226303100585938,-0.2083209604024887,0.9190843105316162,0.8866385221481323,0.927314817905426,-0.20832450687885284,0.937920868396759,0.8882376551628113,0.9320177435874939,-0.20841296017169952,0.937527596950531,0.8826802372932434,0.903465211391449,-0.1471824198961258,0.899421751499176,0.8949788808822632,0.9306515455245972,-0.18372999131679535,0.9517309069633484,0.891501784324646,0.8930056691169739,-0.18507081270217896,0.871870756149292,0.8965368866920471,0.9064287543296814,-0.19567033648490906,0.9134529232978821,0.892510712146759,0.8529262542724609,-0.09816940873861313,0.9677183032035828,0.9411100745201111,0.9083383083343506,-0.14827942848205566,0.986897885799408,0.9027727246284485,0.7785225510597229,-0.022635800763964653,0.250873327255249,0.9746928811073303,0.8207630515098572,-0.12886330485343933,0.4788486659526825,0.9104334712028503,0.7362980842590332,0.01191690843552351,0.05762801691889763,1.0128066539764404,0.7806269526481628,-0.13354434072971344,0.33878201246261597,0.9136200547218323,0.722348153591156,0.015029535628855228,0.04896968975663185,1.0243171453475952,0.7720202207565308,-0.13736410439014435,0.3279733955860138,0.9109399318695068,0.726395308971405,0.005883027333766222,0.05364430695772171,1.0257443189620972,0.7737151980400085,-0.1587921679019928,0.36046943068504333,0.9124491214752197,0.7328170537948608,0.00844210758805275,0.06944198906421661,1.019750952720642,0.7736186981201172,-0.1420937180519104,0.3679749071598053,0.9509732723236084,0.7377592325210571,0.01092908252030611,0.8414576053619385,0.9776050448417664,0.7675942182540894,-0.010953167453408241,0.8322768807411194,0.9766910076141357,0.6524642705917358,0.008694981224834919,0.18525640666484833,0.9967919588088989,0.6628678441047668,0.008774252608418465,0.3641557991504669,1.0079149007797241,0.5925148129463196,0.14152298867702484,0.09099544584751129,1.0222643613815308,0.5976272225379944,0.14058703184127808,0.20433826744556427,1.0154998302459717,0.5878798365592957,0.1521807312965393,0.12732504308223724,1.0275774002075195,0.5933932065963745,0.15204483270645142,0.2357010841369629,1.0098472833633423,0.5469350814819336,0.11447069048881531,0.07305335998535156,1.0314098596572876,0.5566938519477844,0.10248896479606628,0.15671603381633759
