wall_time_s,sim_time_s,frame_index,LShoulderPitch_cmd_rad,LShoulderPitch_meas_rad,RShoulderPitch_cmd_rad,RShoulderPitch_meas_rad,LShoulderRoll_cmd_rad,LShoulderRoll_meas_rad,RShoulderRoll_cmd_rad,RShoulderRoll_meas_rad,LElbowRoll_cmd_rad,LElbowRoll_meas_rad,RElbowRoll_cmd_rad,RElbowRoll_meas_rad,HeadYaw_cmd_rad,HeadYaw_meas_rad,HeadPitch_cmd_rad,HeadPitch_meas_rad,LHipYawPitch_cmd_rad,LHipYawPitch_meas_rad,LHipRoll_cmd_rad,LHipRoll_meas_rad,LHipPitch_cmd_rad,LHipPitch_meas_rad,LKneePitch_cmd_rad,LKneePitch_meas_rad,LAnklePitch_cmd_rad,LAnklePitch_meas_rad,LAnkleRoll_cmd_rad,LAnkleRoll_meas_rad,RHipYawPitch_cmd_rad,RHipYawPitch_meas_rad,RHipRoll_cmd_rad,RHipRoll_meas_rad,RHipPitch_cmd_rad,RHipPitch_meas_rad,RKneePitch_cmd_rad,RKneePitch_meas_rad,RAnklePitch_cmd_rad,RAnklePitch_meas_rad,RAnkleRoll_cmd_rad,RAnkleRoll_meas_rad
1787224268.239844,0.02,0,1.48353,0.049599,1.48353,0.049599,0.174533,0.034885,-0.174533,-0.034886,-0.523599,-0.043112,0.523599,0.043112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1,0.0,0.2,0.0,-0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.2,0.0,-0.1,0.0,0.0,0.0
1787224268.260858,0.04,1,1.48353,0.09918,1.48353,0.09918,0.174533,0.062761,-0.174533,-0.062762,-0.523599,-0.086226,0.523599,0.086226,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.1,-0.019999,0.2,0.039999,-0.1,-0.019999,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.1,-0.019999,0.2,0.039999,-0.1,-0.019999,0.0,-0.0
1787224268.282215,0.06,2,1.48353,0.148757,1.459322,0.148756,0.174533,0.085042,-0.045605,-0.085042,-0.523599,-0.129342,0.523599,0.129342,0.301732,-0.0,-0.191648,-0.0,0.0,-0.0,0.032392,0.0,-0.079,-0.035999,0.158,0.071998,-0.079,-0.035999,-0.032392,0.0,0.0,-0.0,0.0,-0.0,-0.1,-0.035999,0.2,0.071998,-0.1,-0.035999,0.0,-0.0
1787224268.299914,0.08,3,1.48353,0.198332,1.459322,0.231416,0.174533,0.102868,-0.045605,-0.077031,-0.523599,-0.172461,0.523599,0.172433,0.301732,0.060297,-0.191648,-0.038303,-0.000436,3e-06,0.042109,0.004362,-0.0727,-0.044599,0.1454,0.089198,-0.0727,-0.044599,-0.042109,-0.006479,-0.000436,-3e-06,0.0,0.002409,-0.1,-0.0488,0.2,0.097598,-0.1,-0.048799,0.0,0.0
1787224268.324343,0.1,4,1.48353,0.247918,1.489541,0.314072,0.174533,0.117108,-0.012992,-0.070695,-0.523599,-0.215583,0.523599,0.215533,0.470623,0.108535,-0.363177,-0.068893,0.081071,-8.6e-05,0.035636,0.008169,-0.07081,-0.050219,0.14162,0.100439,-0.07081,-0.05022,-0.035636,-0.013605,0.081071,-8.6e-05,0.0,0.004286,-0.1,-0.05904,0.2,0.118078,-0.1,-0.059039,0.0,2e-06
1787224268.336497,0.12,5,1.48353,0.297492,1.489541,0.396715,0.174533,0.128585,-0.012992,-0.05899,-0.523599,-0.258707,0.523599,0.258639,0.470623,0.180692,-0.363177,-0.12761,0.10507,0.00842,0.033695,0.013687,-0.070243,-0.054338,0.140486,0.108674,-0.070243,-0.054338,-0.033695,-0.018011,0.10507,0.016143,0.0,0.003426,-0.1,-0.067231,0.2,0.134461,-0.1,-0.067231,0.0,-2e-06
1787224268.353078,0.14,6,1.48353,0.347069,1.489541,0.479355,0.174533,0.13782,-0.012992,-0.049543,-0.523599,-0.301833,0.523599,0.301752,0.470623,0.238387,-0.363177,-0.174569,0.111837,0.025248,0.033112,0.019619,-0.070073,-0.05752,0.140146,0.115036,-0.070073,-0.057519,-0.033112,-0.021147,0.111837,0.033926,0.0,0.000768,-0.1,-0.073783,0.2,0.147567,-0.1,-0.073784,0.0,-4e-06
1787224268.377072,0.16,7,1.48353,0.396664,1.517998,0.562007,0.174533,0.145181,-0.01184,-0.042048,-0.523599,-0.344962,0.447117,0.34487,0.507321,0.28462,-0.486687,-0.212131,0.117551,0.039504,0.033033,0.022319,-0.070022,-0.060031,0.140044,0.120058,-0.070022,-0.06003,-0.033033,-0.02354,0.117551,0.049505,0.0,0.000613,-0.1,-0.079026,0.2,0.158053,-0.1,-0.079028,0.0,7e-06
1787224268.393528,0.18,8,1.48353,0.446265,1.517998,0.644662,0.174533,0.151082,-0.01184,-0.035819,-0.523599,-0.380684,0.447117,0.365329,0.507321,0.328844,-0.486687,-0.266871,0.119265,0.051743,0.03301,0.024463,-0.070007,-0.062029,0.140013,0.124055,-0.070007,-0.062028,-0.03301,-0.025438,0.119265,0.063111,0.0,0.000489,-0.1,-0.083221,0.2,0.166442,-0.1,-0.083222,0.0,-1e-05
1787224268.416615,0.2,9,1.486303,0.495872,1.52756,0.727321,0.136853,0.155775,-0.018661,-0.03092,-0.523599,-0.409266,0.394323,0.381699,0.505573,0.364307,-0.560793,-0.310686,0.11978,0.058166,0.033239,0.026172,-0.070002,-0.063625,0.140004,0.127247,-0.070002,-0.063624,-0.033239,-0.026952,0.11978,0.070296,0.028092,0.000392,0.015099,-0.086577,0.158,0.173154,-0.173099,-0.086578,-0.028092,1.2e-05
